GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
aiCRM,vasyl.karpliak.aiCRM.communications.service,MailService,195,0,8,0,55,0,12,0,8,0
aiCRM,vasyl.karpliak.aiCRM.communications.service,InboundEmailService,444,0,46,0,104,0,31,0,8,0
aiCRM,vasyl.karpliak.aiCRM.communications.service,InboundMessageEvent,16,0,0,0,6,0,3,0,3,0
aiCRM,vasyl.karpliak.aiCRM.ai.domain,AiChatMessage,42,0,0,0,13,0,12,0,12,0
aiCRM,vasyl.karpliak.aiCRM.ai.controller,AIChatController,146,0,6,0,40,0,9,0,6,0
aiCRM,vasyl.karpliak.aiCRM.sales.controller,IntegrationController,35,0,0,0,9,0,2,0,2,0
aiCRM,vasyl.karpliak.aiCRM.sales.controller,ClientController,40,57,8,2,9,12,7,5,2,5
aiCRM,vasyl.karpliak.aiCRM.sales.controller,TaskController,271,0,20,0,56,0,20,0,10,0
aiCRM,vasyl.karpliak.aiCRM.sales.controller,DealController,52,122,7,9,5,27,10,10,3,9
aiCRM,vasyl.karpliak.aiCRM.ai.dto,ChatRequest,12,0,0,0,1,0,1,0,1,0
aiCRM,vasyl.karpliak.aiCRM.ai.dto,UserResponse,15,0,0,0,1,0,1,0,1,0
aiCRM,vasyl.karpliak.aiCRM.ai.dto,ChatRequest.HistoryMessage,0,9,0,0,0,1,0,1,0,1
aiCRM,vasyl.karpliak.aiCRM.ai.dto,MessageResponse,15,0,0,0,1,0,1,0,1,0
aiCRM,vasyl.karpliak.aiCRM.ai.dto,DealResponse,0,30,0,0,0,1,0,1,0,1
aiCRM,vasyl.karpliak.aiCRM.ai.dto,TaskResponse,39,0,0,0,1,0,1,0,1,0
aiCRM,vasyl.karpliak.aiCRM.ai.dto,ClientResponse,21,0,0,0,1,0,1,0,1,0
aiCRM,vasyl.karpliak.aiCRM.ai.dto,ChatSessionResponse,21,0,0,0,1,0,1,0,1,0
aiCRM,vasyl.karpliak.aiCRM.iam.domain,Organization,4,0,0,0,2,0,1,0,1,0
aiCRM,vasyl.karpliak.aiCRM.iam.domain,User,7,0,2,0,3,0,2,0,1,0
aiCRM,vasyl.karpliak.aiCRM.iam.domain,Project,4,0,0,0,2,0,1,0,1,0
aiCRM,vasyl.karpliak.aiCRM.sales.domain,DealEvent,23,15,0,0,9,7,7,4,7,4
aiCRM,vasyl.karpliak.aiCRM.sales.domain,Deal,28,62,2,0,12,26,6,18,5,18
aiCRM,vasyl.karpliak.aiCRM.reporting.domain,ReportTask,4,0,0,0,2,0,1,0,1,0
aiCRM,vasyl.karpliak.aiCRM.attachments.listener,FileProcessingListener,15,0,0,0,6,0,2,0,2,0
aiCRM,vasyl.karpliak.aiCRM.communications.config,RabbitMQConfig,39,0,0,0,7,0,7,0,7,0
aiCRM,vasyl.karpliak.aiCRM.reporting.service,ReportingService,528,0,39,0,96,0,33,0,12,0
aiCRM,vasyl.karpliak.aiCRM.iam.dto,RegistrationDTO,0,3,0,0,0,1,0,1,0,1
aiCRM,vasyl.karpliak.aiCRM.iam.dto,LoginDTO,0,3,0,0,0,1,0,1,0,1
aiCRM,vasyl.karpliak.aiCRM.iam.dto,UserDTO,79,0,2,0,21,0,3,0,2,0
aiCRM,vasyl.karpliak.aiCRM.iam.enums,UserRoles,0,39,0,0,0,7,0,1,0,1
aiCRM,vasyl.karpliak.aiCRM.reporting.dto,ReportTaskDTO,33,0,0,0,1,0,1,0,1,0
aiCRM,vasyl.karpliak.aiCRM.reporting.dto,ReportRequestDTO,9,0,0,0,1,0,1,0,1,0
aiCRM,vasyl.karpliak.aiCRM.attachments.controller,FileController,178,0,20,0,43,0,18,0,8,0
aiCRM,vasyl.karpliak.aiCRM.communications.dto,NotificationDto,18,0,0,0,1,0,1,0,1,0
aiCRM,vasyl.karpliak.aiCRM.communications.dto,UnifiedMessage,24,0,0,0,1,0,1,0,1,0
aiCRM,vasyl.karpliak.aiCRM.communications.dto,EmailMessageDto,27,0,0,0,1,0,1,0,1,0
aiCRM,vasyl.karpliak.aiCRM.reporting.listener,ReportGenerationListener,11,0,0,0,5,0,2,0,2,0
aiCRM,vasyl.karpliak.aiCRM.analytics.service,AnalyticsService,281,0,30,0,50,0,22,0,5,0
aiCRM,vasyl.karpliak.aiCRM,AiCrmApplication,5,3,0,0,2,1,1,1,1,1
aiCRM,vasyl.karpliak.aiCRM.communications.enums,ChannelType,27,0,0,0,2,0,1,0,1,0
aiCRM,vasyl.karpliak.aiCRM.communications.enums,SenderType,21,0,0,0,4,0,1,0,1,0
aiCRM,vasyl.karpliak.aiCRM.communications.enums,SessionStatus,15,0,0,0,3,0,1,0,1,0
aiCRM,vasyl.karpliak.aiCRM.search.controller,SemanticSearchController,37,0,6,0,9,0,6,0,3,0
aiCRM,vasyl.karpliak.aiCRM.search.service,SemanticSearchService,82,0,6,0,22,0,8,0,5,0
aiCRM,vasyl.karpliak.aiCRM.ai.tools,CommunicationsAITools,180,0,6,0,39,0,12,0,9,0
aiCRM,vasyl.karpliak.aiCRM.ai.tools,SalesAITools,414,0,32,0,84,0,35,0,19,0
